,emp_title,emp_length,state,homeownership,loan_amount,term,interest_rate
0,global config engineer ,3.0,NJ,MORTGAGE,28000,60,14.07
1,warehouse office clerk,10.0,HI,RENT,5000,36,12.61
2,assembly,3.0,WI,RENT,2000,36,17.09
3,customer service,1.0,PA,RENT,21600,36,6.72
4,security supervisor ,10.0,CA,RENT,23000,36,14.07
5,,,KY,OWN,5000,36,6.72
6,hr ,10.0,MI,MORTGAGE,24000,60,13.59
7,police,10.0,AZ,MORTGAGE,20000,60,11.99
8,parts,10.0,NV,MORTGAGE,20000,36,13.59
9,4th person,3.0,IL,RENT,6400,36,6.71
10,supervisor,10.0,IL,MORTGAGE,25000,60,15.04
11,register nurse,2.0,FL,MORTGAGE,40000,60,9.92
12,respiratory therapist & sleep lab tech,5.0,SC,MORTGAGE,16000,36,13.59
13,senior inspector,10.0,CO,MORTGAGE,17000,60,9.43
14,,,FL,MORTGAGE,3000,36,19.03
15,dental hygienist,10.0,TN,MORTGAGE,20000,60,19.03
16,,,NV,MORTGAGE,12000,60,19.03
17,onsite medical ,3.0,NV,RENT,30000,60,28.72
18,operational risk manager,10.0,IL,MORTGAGE,5000,36,26.77
19,welder,1.0,CA,MORTGAGE,20000,60,15.05
20,maintenance adm assistant,10.0,KY,MORTGAGE,7000,36,6.08
21,warranty administrator,1.0,NV,MORTGAGE,10000,36,11.98
22,underwriter,5.0,NJ,MORTGAGE,21050,60,13.59
23,,,TX,MORTGAGE,3500,36,6.71
24,program analyst ,10.0,VA,RENT,8000,36,7.96
25,surveyor/cadd tech,7.0,PA,MORTGAGE,18000,60,12.61
26,associated ,1.0,NY,RENT,10000,36,11.98
27,inventory control specialist,5.0,IL,RENT,3200,36,7.34
28,inventory control,3.0,GA,RENT,10000,36,5.32
29,sr direct supoort professional,4.0,MO,MORTGAGE,6000,36,6.07
30,director of operations,4.0,CA,MORTGAGE,12000,36,12.62
31,hospitalist,3.0,TX,MORTGAGE,40000,60,9.44
32,teacher,9.0,AR,MORTGAGE,19000,60,19.03
33,controller,3.0,SC,MORTGAGE,28000,60,20.39
34,deputy,10.0,CA,MORTGAGE,15000,60,9.93
35,armed protection officer ,1.0,MD,OWN,2400,36,6.08
36,driver,2.0,MD,RENT,10000,36,21.45
37,supplies clerk,10.0,NJ,MORTGAGE,24000,60,15.04
38,loan consultant ,2.0,PA,RENT,9500,36,10.42
39,bank coordinator,2.0,CA,RENT,30000,36,12.61
40,,,MI,MORTGAGE,10000,60,18.06
41,senior recruiter,5.0,MD,RENT,15000,60,11.99
42,reader advisor,10.0,VA,RENT,35000,60,15.05
43,truck driver,2.0,TX,RENT,10000,36,15.05
44,sales,4.0,TX,MORTGAGE,40000,60,12.62
45,director of support services,10.0,NC,OWN,15000,36,6.72
46,rn,2.0,FL,MORTGAGE,20000,36,6.71
47,police recruit,0.0,TX,RENT,4500,36,15.05
48,lead teller,2.0,NE,RENT,16000,60,9.93
49,registered nurse,6.0,NC,MORTGAGE,10000,36,10.42
50,hes advisor ,2.0,TX,MORTGAGE,20000,60,22.91
51,sr admin assistant,10.0,TX,RENT,20600,60,30.79
52,president,2.0,CA,RENT,35000,60,15.05
