,emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,annual_income_joint,verification_income_joint,debt_to_income_joint,delinq_2y,months_since_last_delinq,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,installment,grade,sub_grade,issue_month,loan_status,initial_listing_status,disbursement_method,balance,paid_total,paid_principal,paid_interest,paid_late_fees
13,senior inspector,10.0,CO,MORTGAGE,88000.0,Source Verified,3.67,,,,0,44.0,1984,6,65,21,259915,14387,0,0,,0,0,0,7,0.0,21,0.0,0,4,70800,53,20,6,3,98.4,0,0,credit_card,individual,17000,60,9.43,356.46,B,B1,Feb-2018,Current,whole,DirectPay,16326.13,1060.47,673.87,386.6,0.0
24,program analyst ,10.0,VA,RENT,82000.0,Not Verified,17.31,,,,0,67.0,1999,1,26,7,65425,69177,0,0,67.0,0,0,2,3,4.0,7,0.0,0,2,11500,14,5,5,2,88.0,0,0,credit_card,individual,8000,36,7.96,250.55,A,A5,Mar-2018,Current,fractional,Cash,7403.61,744.57,596.39,148.18,0.0
26,associated ,1.0,NY,RENT,55000.0,Source Verified,13.68,,,,0,44.0,2013,7,17,11,41891,26637,0,0,44.0,0,0,1,11,3.0,11,0.0,0,3,17700,16,10,4,0,100.0,0,0,credit_card,individual,10000,36,11.98,332.05,B,B5,Mar-2018,Current,whole,Cash,9432.28,750.79,567.72,183.07,0.0
28,inventory control,3.0,GA,RENT,60000.0,Not Verified,11.0,,,,0,70.0,1998,0,13,9,56000,14338,0,0,70.0,0,0,2,5,,9,0.0,0,2,36400,9,7,2,1,92.3,0,0,debt_consolidation,individual,10000,36,5.32,301.15,A,A1,Jan-2018,Current,whole,Cash,8704.48,1498.36,1295.52,202.84,0.0
35,armed protection officer ,1.0,MD,OWN,70000.0,Source Verified,0.0,,,,0,31.0,2004,0,13,3,30400,92,0,0,,0,0,0,0,,3,0.0,0,0,0,11,3,1,0,92.3,0,0,small_business,individual,2400,36,6.08,73.1,A,A2,Jan-2018,Fully Paid,whole,Cash,0.0,2409.0499926707,2400.0,9.05,0.0
45,director of support services,10.0,NC,OWN,76300.0,Not Verified,10.71,,,,0,68.0,1980,4,30,12,185068,26515,0,1,68.0,0,0,2,7,0.0,12,0.0,0,2,16800,21,9,4,3,96.7,0,1,debt_consolidation,individual,15000,36,6.72,461.24,A,A3,Jan-2018,Current,whole,Cash,13092.56,2295.0,1907.44,387.56,0.0
49,registered nurse,6.0,NC,MORTGAGE,88000.0,Source Verified,17.24,,,,0,61.0,2004,2,39,25,404236,199983,0,0,,0,0,18,5,3.0,25,0.0,0,3,32000,8,6,4,2,97.4,0,0,credit_card,individual,10000,36,10.42,324.65,B,B3,Jan-2018,Current,whole,Cash,9036.27,1292.81,963.73,329.08,0.0
60,deputy assessor ,8.0,WV,MORTGAGE,50000.0,Verified,12.15,,,,0,80.0,2007,8,27,13,97664,21687,0,1,,0,0,1,3,10.0,13,0.0,0,4,25600,21,11,4,2,96.2,0,1,debt_consolidation,individual,25000,36,9.93,805.86,B,B2,Jan-2018,Current,fractional,Cash,21955.1,4015.51,3044.9,970.61,0.0
61,service tech,10.0,MD,OWN,58000.0,Source Verified,12.58,,,,0,43.0,2004,0,22,10,37300,14770,0,0,43.0,0,0,0,3,,10,0.0,0,4,17000,14,9,6,2,86.4,0,0,debt_consolidation,individual,10000,36,9.92,322.3,B,B2,Mar-2018,Current,whole,Cash,9275.14,961.39,724.86,236.53,0.0
65,quality control,0.0,PA,MORTGAGE,69000.0,Not Verified,15.42,,,,0,75.0,2003,0,37,8,291176,33890,0,0,,0,0,2,3,14.0,8,0.0,0,2,57700,23,5,3,2,94.3,0,0,debt_consolidation,individual,20000,36,5.31,602.21,A,A1,Mar-2018,Current,fractional,Cash,18452.04,1800.73,1547.96,252.77,0.0
